step_index,phase,action,source_well,destination_well,volume_ul,print_label,x_mm,y_mm,image_expected,image_name,status
1,before,capture_before_deck,,,0.0,,0.0,0.0,True,before_deck.jpg,ok
2,before,capture_before_wellplate,,,0.0,,0.0,0.0,True,before_wellplate.jpg,ok
3,dilution,pipette_water,A7,B7,180.0,,0.0,0.0,False,,ok
4,dilution,pipette_water,A8,B8,150.0,,0.0,0.0,False,,ok
5,dilution,pipette_water,A9,B9,100.0,,0.0,0.0,False,,ok
6,dilution,pipette_stock,A1,B7,20.0,,0.0,0.0,False,,ok
7,dilution,mix_well_3x,,B7,100.0,,0.0,0.0,False,,ok
8,dilution,capture_dilution_step,,B7,0.0,,0.0,0.0,True,wellplate_step_001_well_B7.jpg,ok
9,dilution,pipette_stock,A1,B8,50.0,,0.0,0.0,False,,ok
10,dilution,mix_well_3x,,B8,100.0,,0.0,0.0,False,,ok
11,dilution,capture_dilution_step,,B8,0.0,,0.0,0.0,True,wellplate_step_002_well_B8.jpg,ok
12,dilution,pipette_stock,A1,B9,100.0,,0.0,0.0,False,,ok
13,dilution,mix_well_3x,,B9,100.0,,0.0,0.0,False,,ok
14,dilution,capture_dilution_step,,B9,0.0,,0.0,0.0,True,wellplate_step_003_well_B9.jpg,ok
15,printing,aspirate_print_source,B7,,10.0,,0.0,0.0,False,,ok
16,printing,print_droplet,,,10.0,dilution_1,5.0,5.0,False,,ok
17,printing,capture_print_step,B7,,0.0,dilution_1,5.0,5.0,True,paper_print_001_well_B7.jpg,ok
18,printing,aspirate_print_source,B8,,10.0,,0.0,0.0,False,,ok
19,printing,print_droplet,,,10.0,dilution_2,10.0,10.0,False,,ok
20,printing,capture_print_step,B8,,0.0,dilution_2,10.0,10.0,True,paper_print_002_well_B8.jpg,ok
21,printing,aspirate_print_source,B9,,10.0,,0.0,0.0,False,,ok
22,printing,print_droplet,,,10.0,dilution_3,15.0,15.0,False,,ok
23,printing,capture_print_step,B9,,0.0,dilution_3,15.0,15.0,True,paper_print_003_well_B9.jpg,ok
24,after,capture_after_deck,,,0.0,,0.0,0.0,True,after_deck.jpg,ok
25,after,capture_after_wellplate,,,0.0,,0.0,0.0,True,after_wellplate.jpg,ok
