sample_id,tray_position,replicate_number,droplet_diameter_um,coverage_percent,color_intensity,edge_uniformity,substrate_adhesion,notes
S001,A1,1,,,,,,
S001,A1,2,,,,,,
S001,A1,3,,,,,,
S001,B1,1,,,,,,
S001,B1,2,,,,,,
S001,B1,3,,,,,,
S002,C1,1,,,,,,
S002,C1,2,,,,,,
S002,C1,3,,,,,,
S002,D1,1,,,,,,
S002,D1,2,,,,,,
S002,D1,3,,,,,,
S003,E1,1,,,,,,
S003,E1,2,,,,,,
S003,E1,3,,,,,,
S003,F1,1,,,,,,
S003,F1,2,,,,,,
S003,F1,3,,,,,,
S004,G1,1,,,,,,
S004,G1,2,,,,,,
S004,G1,3,,,,,,
S004,H1,1,,,,,,
S004,H1,2,,,,,,
S004,H1,3,,,,,,
S005,A2,1,,,,,,
S005,A2,2,,,,,,
S005,A2,3,,,,,,
S005,B2,1,,,,,,
S005,B2,2,,,,,,
S005,B2,3,,,,,,
S006,C2,1,,,,,,
S006,C2,2,,,,,,
S006,C2,3,,,,,,
S006,D2,1,,,,,,
S006,D2,2,,,,,,
S006,D2,3,,,,,,
